b'Date,Open,High,Low,Close,Volume,Adj Close
2016-07-14,30.709999,30.709999,29.870001,30.549999,6236300,30.549999
2016-07-13,26.58,27.049999,26.25,26.530001,2604500,26.530001
2016-07-12,28.43,28.700001,27.58,27.59,7089600,27.59
2016-07-11,29.00,30.25,26.75,27.700001,9737500,27.700001
2016-07-08,20.58,20.85,20.469999,20.73,761000,20.73
2016-07-07,18.639999,18.809999,18.35,18.809999,934700,18.809999
2016-07-06,17.709999,17.709999,17.450001,17.629999,94200,17.629999
2016-07-05,17.450001,17.690001,17.450001,17.50,26300,17.50
2016-07-01,17.700001,17.83,17.700001,17.75,18800,17.75
2016-06-30,17.790001,17.799999,17.559999,17.780001,31500,17.780001
2016-06-29,17.809999,17.809999,17.719999,17.780001,8300,17.780001
2016-06-28,17.16,17.16,16.92,17.129999,29700,17.129999
2016-06-27,16.950001,17.07,16.77,16.809999,65500,16.809999
2016-06-24,17.23,17.32,17.00,17.26,51200,17.26
2016-06-23,17.85,17.879999,17.75,17.83,24900,17.83
2016-06-22,17.84,17.84,17.700001,17.700001,47900,17.700001
2016-06-21,17.879999,18.10,17.879999,17.99,17200,17.99
2016-06-20,17.719999,18.00,17.719999,17.950001,24000,17.950001
2016-06-17,17.50,17.66,17.50,17.610001,57500,17.610001
2016-06-16,17.639999,17.67,17.43,17.67,68000,17.67
2016-06-15,17.799999,17.950001,17.75,17.780001,101300,17.780001
2016-06-14,17.99,17.99,17.799999,17.82,20700,17.82
2016-06-13,18.10,18.10,18.00,18.01,27400,18.01
2016-06-10,18.700001,18.709999,18.440001,18.50,32100,18.50
2016-06-09,18.76,19.00,18.76,18.950001,93100,18.950001
2016-06-08,19.059999,19.360001,18.860001,19.35,104900,19.35
2016-06-07,18.73,19.00,18.73,18.860001,17700,18.860001
2016-06-06,18.42,18.50,18.200001,18.459999,87800,18.459999
2016-06-03,18.10,18.17,18.01,18.139999,36900,18.139999
2016-06-02,17.950001,18.09,17.950001,18.059999,25900,18.059999
2016-06-01,18.190001,18.25,18.02,18.219999,40600,18.219999
2016-05-31,18.24,18.450001,18.24,18.34,89800,18.34
2016-05-27,17.809999,18.25,17.809999,18.00,15700,18.00
2016-05-26,18.299999,18.299999,18.040001,18.17,6000,18.17
2016-05-25,18.18,18.35,18.16,18.32,11900,18.32
